Booking_ID,Booking_Date,Booking_Time,City,Vehicle_Type,Ride_Status,Pickup_Location,Drop_Location,Distance_KM,Trip_Duration_Min,Fare_Amount_INR,Surge_Multiplier,Payment_Method,Customer_Rating,Driver_Rating,Driver_ID,Customer_ID,Month,Day_of_Week,Hour,Revenue_Status
UBR100000,2025-07-02,09:51:00,Hyderabad,Uber Premier,Completed,Secunderabad,Gachibowli,23.54,126,550.38,1.0,UPI,4.5,5.0,DRV4359,CUS61096,July,Wednesday,9,Revenue
UBR100001,2025-12-18,21:31:00,Dehradun,Uber Go,Completed,Rajpur Road,Prem Nagar,3.1,29,128.05,1.2,Credit Card,4.2,4.8,DRV4097,CUS77958,December,Thursday,21,Revenue
UBR100002,2025-02-05,07:04:00,Jaipur,Uber Go,No Driver Found,C Scheme,Jagatpura,20.33,0,0.0,1.0,Wallet,,,DRV8498,CUS95519,February,Wednesday,7,No Revenue
UBR100003,2025-02-06,17:40:00,Kolkata,Uber Auto,Cancelled by Customer,New Town,New Town,3.98,0,0.0,1.0,UPI,,,DRV6038,CUS30067,February,Thursday,17,No Revenue
UBR100004,2025-01-14,19:53:00,Mumbai,Uber Go,Cancelled by Customer,Dadar,Bandra,10.48,0,0.0,1.0,Cash,,,DRV5643,CUS65538,January,Tuesday,19,No Revenue
UBR100005,2025-05-03,12:22:00,Mumbai,Uber Go,Completed,Powai,Andheri,10.59,54,226.18,1.2,UPI,3.3,4.0,DRV1685,CUS36338,May,Saturday,12,Revenue
UBR100006,2025-03-24,22:29:00,Delhi,Uber Go,Completed,Saket,Karol Bagh,7.04,41,162.03,1.0,Debit Card,4.3,4.1,DRV8281,CUS71507,March,Monday,22,Revenue
UBR100007,2025-06-08,20:26:00,Noida,Uber XL,Completed,Sector 18,Sector 62,5.25,22,236.61,1.0,UPI,3.7,5.0,DRV7844,CUS43693,June,Sunday,20,Revenue
UBR100008,2025-11-25,10:55:00,Pune,Uber Go,Completed,Viman Nagar,Hadapsar,8.66,46,157.58,1.0,Cash,3.7,4.6,DRV1280,CUS83604,November,Tuesday,10,Revenue
UBR100009,2025-04-12,00:14:00,Jaipur,Uber Premier,Completed,Vaishali Nagar,Vaishali Nagar,2.72,13,153.39,1.2,UPI,4.3,4.5,DRV8818,CUS90023,April,Saturday,0,Revenue
UBR100010,2025-12-03,10:40:00,Delhi,Uber Moto,Completed,Dwarka,Karol Bagh,21.64,110,212.38,1.0,UPI,3.5,3.6,DRV8699,CUS34511,December,Wednesday,10,Revenue
UBR100011,2025-03-24,10:13:00,Dehradun,Uber Go,Cancelled by Customer,Clock Tower,Clock Tower,7.74,0,0.0,1.0,UPI,,,DRV5888,CUS40344,March,Monday,10,No Revenue
UBR100012,2025-02-13,21:20:00,Noida,Uber Go,Completed,Sector 62,Sector 18,16.67,75,274.98,1.0,Debit Card,4.3,5.0,DRV5919,CUS79134,February,Thursday,21,Revenue
UBR100013,2025-03-09,22:55:00,Mumbai,Uber Go,No Driver Found,Bandra,Andheri,11.49,0,0.0,1.0,UPI,,,DRV1059,CUS68618,March,Sunday,22,No Revenue
UBR100014,2025-02-17,06:33:00,Mumbai,Uber Go,Completed,Dadar,Dadar,13.16,61,285.15,1.2,UPI,3.6,3.9,DRV6383,CUS74730,February,Monday,6,Revenue
